candidate_id,split,issuer,categories,question_1,question_2,issuer_correct,is_composite,joint_answer_exists,composite_question,composite_answer,notes
tmus-ecc08c2b-fedb0902,development,TMUS,Company overview + Accounting,Risk from diversification in T-Mobile US wholesale/MVNO revenues; TMUS.,Impact of imputed interest EIP on transaction pricing & profit vs. credit risk for TMUS.,,,,,,
tsn-1db1d5fc-3e38df16,development,TSN,Accounting + Financials,TSN's variable consideration risk may adversely affect its profitability & cash flow.,Liquidity & refinancing risk impact on TSN debt maturities 2025-2029.,,,,,,
crwd-6e873fd0-93a521e8,held_out,CRWD,Footnotes + Accounting,CRWD's profitability profile is affected by contractual cash outflows and associated risks.,"CRWD's revenue recognition impacts T&M, fixed fee, and cash flow predictability.",,,,,,
rsg-07994506-ca8f2db5,held_out,RSG,Governance + Accounting,How does internally promoted leadership at Republic Services impact long-term growth and capital allocation? (RSG),Implications of deferred rev on cash flow & profitability for Republic Services (RSG).,,,,,,
len-79a01db8-d3fc4208,held_out,LEN,Legal + Accounting,Lennar (LEN) faces legal claims that jeopardize profitability.,Revenue recognition for LEN's land sales vs. home sales has implications on risk and profitability.,,,,,,
panw-76ae4baa-841a80b5,held_out,PANW,Risk + Accounting,Impact of PANW board security oversight on growth & valuation?,Internal controls for performance obligations and revenue reliability at PANW.,,,,,,
mcd-736122a9-dc315300,held_out,MCD,Shareholder return + Accounting,MCD's 3-yr dividend trend and its implications on profitability/cash flow.,"Tech (MCD) faces revenue recognition risks like delayed service, affecting cash flows, while advantages include scalable models & recurring revenue. In contrast, restaurant (MCD) risks revolve around inventory management & local demand fluctuations, yet benefits lie in customer loyalty & brand strength, promoting stable earnings.",,,,,,
fitb-13c5b248-9ddbe73b,development,FITB,Financials + Company overview,Impact of reg. liquidity reqs & stress testing on FITB margins.,Impact of Fifth Third's borrowing capacity on future growth potential: FITB.,,,,,,
ed-d7c7f930-fa1c3d93,held_out,ED,Company overview + Footnotes,Regulatory impact on capital allocation & profitability for Con Edison (ED) is significant.,Long-term debt maturity breakdown & short-term liquidity risk (ED) for ConEd.,,,,,,
xom-7e38d34a-b9fe86a2,held_out,XOM,Governance + Company overview,Impact of XOM leadership tenure on long-term strategy & risk mgmt.,"Partnerships in industry, tech capabilities, & risk mgt impact XOM's long-term fin performance.",,,,,,
stx-52bf79bf-9a55a405,held_out,STX,Legal + Company overview,Impact of Seagate (STX) pending sec lit on profit & op cash flows near-mid term.,"STX's revenue, supply chain, & operating perf. can be significantly influenced by lead-time extensions & long-term demand forecasts.",,,,,,
pwr-e6ea006c-fe8ef015,held_out,PWR,Risk + Company overview,Cybersecurity governance impact on long-term growth and risk-adjusted returns for PWR board.,"Quanta Services faces competitive risk regarding margins from fixed vs unit pricing, PWR.",,,,,,
cinf-73a13b04-9187a173,development,CINF,Financials + Footnotes,Impact of regulatory factors on dividend liquidity for CINF subsidiary.,Impact on long-term cash flow & risk mgmt from life policy obligations beyond 2024 for CINF.,,,,,,
vrsk-a97d9785-c6cb8e43,development,VRSK,Financials + Governance,Verisk Analytics (VRSK) faces long-term debt refinancing risks impacting capital planning.,"Verisk's (VRSK) subscription model impacts op efficiency, profitability, & cash flow.",,,,,,
trow-06ab7894-f8865e6f,held_out,TROW,Financials + Legal,The impact of discretionary investments performance on TROW's liquidity and risk profile.,"Legal risk impact on TROW cap allocation, valuation, growth.",,,,,,
trow-06ab7894-980ffb05,held_out,TROW,Financials + Risk,The impact of discretionary investments performance on TROW's liquidity and risk profile.,"Assess the impact of TROW's cybersecurity investments on profitability and financial condition, TROW.",,,,,,
eps-4bd71aae-bd24c352,held_out,EPS,Shareholder return + Financials,Share buyback suspension at UAL may negatively impact short-term EPS & shareholder value.,2024 div payout CTAS EPS Diluted/Dividends Declared.,,,,,,
xyl-28272076-d4dd24bd,held_out,XYL,Governance + Footnotes,"Governance, capital allocation, and board composition for XYL.",Impact of XYL's debt terms & interest on profitability & growth.,,,,,,
cinf-9187a173-a4154d22,development,CINF,Footnotes + Legal,Impact on long-term cash flow & risk mgmt from life policy obligations beyond 2024 for CINF.,How does minimal litigation exposure influence capital allocation and cash flow/legal reserves for CINF?,,,,,,
ip-8be1cd19-d5dd8af4,held_out,IP,Footnotes + Risk,"Growth acceleration in SNPS Design IP segment, future outlook, and risks.",Sustainable growth in IP cyber sec. practices.,,,,,,
cf-3d6bdf2d-ec5bdb1c,held_out,CF,Shareholder return + Footnotes,"Buybacks/dividends by MAR impact CF, with implications for valuation and growth.",DVA's op. leases vs. LT debt affects CF profit impact.,,,,,,
dte-09f68daf-0a6d7405,development,DTE,Governance + Legal,"Financial performance & valuation of DTE, as assessed by its board structure.",DTE non-utility eco legal risk mgmt. impacts long-term growth inv. returns.,,,,,,
afl-4d4641f0-bb56359b,development,AFL,Risk + Governance,"Cybersecurity risk assessments, AFL, capital allocation, profitability.",AFL domestic vs international leadership (tickers) impact on regional risk mngmt & growth.,,,,,,
eps-4bd71aae-79b085d0,held_out,EPS,Shareholder return + Governance,Share buyback suspension at UAL may negatively impact short-term EPS & shareholder value.,Impact of CSCO repurchase on EPS & returns.,,,,,,
kmb-3f515fba-a6ac06ab,held_out,KMB,Risk + Legal,"Impact of KMB's cybersecurity risk integration in ERM on financial stability & shareholder value, KMB.",Env. compliance risk & op cash flows for KMB.,,,,,,
